date,price
Sun Jan 14 00:59:09 2018,1362.97
Sun Jan 14 00:54:10 2018,1362
Sun Jan 14 00:49:10 2018,1361.8
Sun Jan 14 00:44:10 2018,1361.1
Sun Jan 14 00:39:10 2018,1359.17
Sun Jan 14 00:34:10 2018,1359.42
Sun Jan 14 00:29:10 2018,1357.42
Sun Jan 14 00:24:09 2018,1356.71
Sun Jan 14 00:19:10 2018,1356.02
Sun Jan 14 00:14:10 2018,1352.59
Sun Jan 14 00:09:10 2018,1360
Sun Jan 14 00:04:09 2018,1361.61
