date,price,buy_volume,sell_volume,sum_buy,sum_sell,sum_volume
Sun Jan 14 15:04:21 2018,13986.2,0,0,0,0,0
Sun Jan 14 14:59:21 2018,13916.0,0,0,0,0,0
Sun Jan 14 14:54:22 2018,13895.3,0,0,0,0,0
Sun Jan 14 14:49:21 2018,13939.0,0,0,0,0,0
Sun Jan 14 14:44:21 2018,13944.0,0,0,0,0,0
Sun Jan 14 14:39:22 2018,13879.7,0,1,0,13879.7,-1
Sun Jan 14 14:34:21 2018,13882.5,0,1,0,13882.5,0
Sun Jan 14 14:29:21 2018,13915.0,0,1,0,13915.0,0
Sun Jan 14 14:24:22 2018,13922.9,0,0,0,0,1
Sun Jan 14 14:19:20 2018,14051.2,0,0,0,0,0
Sun Jan 14 14:14:21 2018,14080.4,0,0,0,0,0
Sun Jan 14 14:09:21 2018,14068.2,0,0,0,0,0
Sun Jan 14 14:04:21 2018,14036.8,0,0,0,0,0
Sun Jan 14 13:59:20 2018,14059.1,0,0,0,0,0
Sun Jan 14 13:54:21 2018,14046.6,0,0,0,0,0
Sun Jan 14 13:49:21 2018,14036.6,0,1,0,14036.6,-1
Sun Jan 14 13:44:21 2018,14132.2,0,1,0,14132.2,0
